Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,1.550V,1.730V
Average              :,1.950V,-23.35mV
Vertical pos         :,1.000000mV,1.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.312500mV,0.312500mV
Time interval        :,0.00200uS,0.00200uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
697,1941.250000697,12.500000
698,1941.250000698,-83.750000
699,1941.250000699,12.500000
700,1941.250000700,12.500000
701,2037.500000701,12.500000
702,1941.250000702,12.500000
703,1941.250000703,12.500000
704,1941.250000704,12.500000
705,1941.250000705,12.500000
706,1941.250000706,12.500000
707,1941.250000707,12.500000
708,1941.250000708,12.500000
709,1941.250000709,12.500000
710,1941.250000710,12.500000
711,1941.250000711,-83.750000
712,1941.250000712,12.500000
713,1941.250000713,12.500000
714,1941.250000714,12.500000
715,1941.250000715,12.500000
716,1941.250000716,12.500000
717,1941.250000717,-83.750000
718,1941.250000718,12.500000
719,1941.250000719,-83.750000
720,1941.250000720,12.500000
721,1941.250000721,12.500000
722,1941.250000722,12.500000
723,1941.250000723,12.500000
724,1941.250000724,12.500000
725,1941.250000725,12.500000
726,1941.250000726,12.500000
727,1941.250000727,-83.750000
728,1941.250000728,12.500000
729,1941.250000729,12.500000
730,1941.250000730,12.500000
731,2037.500000731,12.500000
732,1843.750000732,12.500000
733,1941.250000733,12.500000
734,1941.250000734,12.500000
735,1941.250000735,-83.750000
736,1941.250000736,12.500000
737,1941.250000737,12.500000
738,1941.250000738,-83.750000
739,1941.250000739,-83.750000
740,1941.250000740,12.500000
741,2037.500000741,12.500000
742,1941.250000742,12.500000
743,1941.250000743,-83.750000
744,1941.250000744,12.500000
745,1941.250000745,12.500000
746,1941.250000746,12.500000
747,1941.250000747,-83.750000
748,1941.250000748,12.500000
749,1941.250000749,-83.750000
750,1941.250000750,-83.750000
751,1941.250000751,-83.750000
752,1941.250000752,12.500000
753,1941.250000753,12.500000
754,1941.250000754,12.500000
755,1941.250000755,-83.750000
756,1941.250000756,12.500000
757,1941.250000757,12.500000
758,1941.250000758,12.500000
759,1941.250000759,-83.750000
760,1941.250000760,12.500000
761,1941.250000761,-83.750000
762,1941.250000762,12.500000
763,1941.250000763,-83.750000
764,1941.250000764,12.500000
765,1941.250000765,-83.750000
766,1941.250000766,12.500000
767,1941.250000767,12.500000
768,1941.250000768,12.500000
769,1941.250000769,12.500000
770,1941.250000770,-83.750000
771,1941.250000771,12.500000
772,1941.250000772,12.500000
773,1941.250000773,12.500000
774,1941.250000774,12.500000
775,1941.250000775,12.500000
776,1941.250000776,-83.750000
777,1941.250000777,12.500000
778,1941.250000778,12.500000
779,1941.250000779,12.500000
780,1941.250000780,12.500000
781,1941.250000781,-83.750000
782,1941.250000782,12.500000
783,1941.250000783,-83.750000
784,1941.250000784,12.500000
785,1941.250000785,-83.750000
786,1941.250000786,12.500000
787,1941.250000787,-83.750000
788,1941.250000788,12.500000
789,1941.250000789,-83.750000
790,1941.250000790,12.500000
791,1941.250000791,-83.750000
792,1941.250000792,12.500000
793,2037.500000793,12.500000
794,1941.250000794,12.500000
795,1941.250000795,-83.750000
796,1941.250000796,-83.750000
797,1941.250000797,12.500000
798,1941.250000798,-83.750000
799,1941.250000799,-83.750000
800,1941.250000800,-83.750000
801,1941.250000801,12.500000
802,1941.250000802,-83.750000
803,1941.250000803,12.500000
804,1941.250000804,-83.750000
805,1941.250000805,12.500000
806,1941.250000806,-83.750000
807,1941.250000807,12.500000
808,1941.250000808,12.500000
809,1941.250000809,12.500000
810,1941.250000810,12.500000
811,1941.250000811,-83.750000
812,1941.250000812,12.500000
813,1941.250000813,12.500000
814,1941.250000814,12.500000
815,1941.250000815,12.500000
816,1941.250000816,12.500000
817,1941.250000817,12.500000
818,1941.250000818,12.500000
819,2037.500000819,12.500000
820,1941.250000820,-83.750000
821,1941.250000821,12.500000
822,1941.250000822,12.500000
823,1941.250000823,-83.750000
824,1941.250000824,12.500000
825,1941.250000825,12.500000
826,1941.250000826,12.500000
827,1941.250000827,-83.750000
828,1941.250000828,12.500000
829,1941.250000829,-83.750000
830,1941.250000830,12.500000
831,1941.250000831,12.500000
832,1941.250000832,-83.750000
833,1941.250000833,12.500000
834,1941.250000834,12.500000
835,1941.250000835,12.500000
836,1941.250000836,12.500000
837,1941.250000837,12.500000
838,1941.250000838,12.500000
839,1941.250000839,-83.750000
840,1941.250000840,12.500000
841,1941.250000841,12.500000
842,1941.250000842,12.500000
843,1941.250000843,-83.750000
844,1941.250000844,-83.750000
845,2037.500000845,12.500000
846,1941.250000846,-83.750000
847,1941.250000847,-83.750000
848,1941.250000848,12.500000
849,1941.250000849,12.500000
850,1941.250000850,12.500000
851,1941.250000851,-83.750000
852,1941.250000852,12.500000
853,1941.250000853,-83.750000
854,1941.250000854,12.500000
855,1941.250000855,-83.750000
856,1941.250000856,12.500000
857,1941.250000857,-83.750000
858,1941.250000858,12.500000
859,1941.250000859,12.500000
860,1941.250000860,12.500000
861,1941.250000861,12.500000
862,1941.250000862,12.500000
863,1941.250000863,12.500000
864,1941.250000864,-83.750000
865,1941.250000865,-83.750000
866,1941.250000866,12.500000
867,1941.250000867,-83.750000
868,1941.250000868,12.500000
869,1941.250000869,-83.750000
870,1941.250000870,12.500000
871,1941.250000871,12.500000
872,1941.250000872,-83.750000
873,1941.250000873,12.500000
874,1941.250000874,12.500000
875,1941.250000875,-83.750000
876,1941.250000876,12.500000
877,1941.250000877,-83.750000
878,1941.250000878,12.500000
879,1941.250000879,-83.750000
880,1941.250000880,-83.750000
881,1941.250000881,-83.750000
882,1941.250000882,12.500000
883,1941.250000883,12.500000
884,1941.250000884,12.500000
885,1941.250000885,12.500000
886,1941.250000886,12.500000
887,1941.250000887,12.500000
888,1941.250000888,12.500000
889,1941.250000889,12.500000
890,1941.250000890,12.500000
891,1941.250000891,12.500000
892,1941.250000892,-83.750000
893,1941.250000893,12.500000
894,1941.250000894,12.500000
895,1941.250000895,12.500000
896,1941.250000896,12.500000
897,1941.250000897,12.500000
898,1941.250000898,-83.750000
899,1941.250000899,12.500000
900,1941.250000900,12.500000
901,1941.250000901,12.500000
